
Pre-schedule statistics


Total nodes: 159

Node class;Type;Length;Num
NodeAdd;{HWFloat:8, 24};0;32
NodeAnd;{HWRawBits:1};0;6
NodeCast;{HWOffsetFix:1, 0, UNSIGNED};0;6
NodeConstantDouble;HWUntypedConst;0;1
NodeConstantRawBits;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeConstantRawBits;{HWOffsetFix:49, 0, UNSIGNED};0;1
NodeCounterV1;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeEq;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeInput;{HWFloat:8, 24};0;7
NodeInput;{HWOffsetFix:32, 0, TWOSCOMPLEMENT};0;1
NodeInputMappedReg;{HWFloat:8, 24};0;16
NodeInputMappedReg;{HWOffsetFix:1, 0, UNSIGNED};0;9
NodeInputMappedReg;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeMul;{HWFloat:8, 24};0;19
NodeNot;{HWOffsetFix:1, 0, UNSIGNED};0;9
NodePO2FPMult;{HWFloat:8, 24};0;1
NodeReinterpret;{HWOffsetFix:1, 0, UNSIGNED};0;6
NodeReinterpret;{HWRawBits:1};0;12
NodeStreamOffset;{HWFloat:8, 24};0;28
NodeSub;{HWFloat:8, 24};0;1

Post-schedule statistics (pass 1)


Total nodes: 159

Node class;Type;Length;Num
NodeAdd;{HWFloat:8, 24};0;32
NodeAnd;{HWRawBits:1};0;6
NodeCast;{HWOffsetFix:1, 0, UNSIGNED};0;6
NodeConstantDouble;HWUntypedConst;0;1
NodeConstantRawBits;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeConstantRawBits;{HWOffsetFix:49, 0, UNSIGNED};0;1
NodeCounterV1;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeEq;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeInput;{HWFloat:8, 24};0;7
NodeInput;{HWOffsetFix:32, 0, TWOSCOMPLEMENT};0;1
NodeInputMappedReg;{HWFloat:8, 24};0;16
NodeInputMappedReg;{HWOffsetFix:1, 0, UNSIGNED};0;9
NodeInputMappedReg;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeMul;{HWFloat:8, 24};0;19
NodeNot;{HWOffsetFix:1, 0, UNSIGNED};0;9
NodePO2FPMult;{HWFloat:8, 24};0;1
NodeReinterpret;{HWOffsetFix:1, 0, UNSIGNED};0;6
NodeReinterpret;{HWRawBits:1};0;12
NodeStreamOffset;{HWFloat:8, 24};0;28
NodeSub;{HWFloat:8, 24};0;1

Post-schedule statistics (pass 2)


Total nodes: 203

Node class;Type;Length;Num
NodeAdd;{HWFloat:8, 24};0;32
NodeAnd;{HWRawBits:1};0;6
NodeCast;{HWOffsetFix:1, 0, UNSIGNED};0;6
NodeConstantDouble;HWUntypedConst;0;1
NodeConstantRawBits;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeConstantRawBits;{HWOffsetFix:49, 0, UNSIGNED};0;1
NodeCounterV1;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeEq;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeFIFO;{HWFloat:8, 24};11;3
NodeFIFO;{HWFloat:8, 24};13;3
NodeFIFO;{HWFloat:8, 24};142;1
NodeFIFO;{HWFloat:8, 24};15;3
NodeFIFO;{HWFloat:8, 24};2;3
NodeFIFO;{HWFloat:8, 24};22;3
NodeFIFO;{HWFloat:8, 24};28;3
NodeFIFO;{HWFloat:8, 24};31;2
NodeFIFO;{HWFloat:8, 24};33;3
NodeFIFO;{HWFloat:8, 24};41;5
NodeFIFO;{HWFloat:8, 24};44;2
NodeFIFO;{HWFloat:8, 24};54;2
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};158;5
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};31;1
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};63;1
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};88;1
NodeFIFO;{HWOffsetFix:48, 0, UNSIGNED};4;1
NodeFIFO;{HWRawBits:1};31;1
NodeFIFO;{HWRawBits:1};43;1
NodeInput;{HWFloat:8, 24};0;7
NodeInput;{HWOffsetFix:32, 0, TWOSCOMPLEMENT};0;1
NodeInputMappedReg;{HWFloat:8, 24};0;16
NodeInputMappedReg;{HWOffsetFix:1, 0, UNSIGNED};0;9
NodeInputMappedReg;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeMul;{HWFloat:8, 24};0;19
NodeNot;{HWOffsetFix:1, 0, UNSIGNED};0;9
NodePO2FPMult;{HWFloat:8, 24};0;1
NodeReinterpret;{HWOffsetFix:1, 0, UNSIGNED};0;6
NodeReinterpret;{HWRawBits:1};0;12
NodeStreamOffset;{HWFloat:8, 24};0;28
NodeSub;{HWFloat:8, 24};0;1

Final statistics


Total nodes: 200

Node class;Type;Length;Num
NodeAdd;{HWFloat:8, 24};0;32
NodeAnd;{HWRawBits:1};0;6
NodeCast;{HWOffsetFix:1, 0, UNSIGNED};0;6
NodeConstantDouble;HWUntypedConst;0;1
NodeConstantRawBits;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeConstantRawBits;{HWOffsetFix:49, 0, UNSIGNED};0;1
NodeCounterV1;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeEq;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeFIFO;{HWFloat:8, 24};10;1
NodeFIFO;{HWFloat:8, 24};13;2
NodeFIFO;{HWFloat:8, 24};142;1
NodeFIFO;{HWFloat:8, 24};2;7
NodeFIFO;{HWFloat:8, 24};3;3
NodeFIFO;{HWFloat:8, 24};4;2
NodeFIFO;{HWFloat:8, 24};44;1
NodeFIFO;{HWFloat:8, 24};5;1
NodeFIFO;{HWFloat:8, 24};6;3
NodeFIFO;{HWFloat:8, 24};7;3
NodeFIFO;{HWFloat:8, 24};8;3
NodeFIFO;{HWFloat:8, 24};9;3
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};158;5
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};31;1
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};63;1
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};88;1
NodeFIFO;{HWOffsetFix:48, 0, UNSIGNED};4;1
NodeFIFO;{HWRawBits:1};31;1
NodeFIFO;{HWRawBits:1};43;1
NodeInput;{HWFloat:8, 24};0;7
NodeInput;{HWOffsetFix:32, 0, TWOSCOMPLEMENT};0;1
NodeInputMappedReg;{HWFloat:8, 24};0;16
NodeInputMappedReg;{HWOffsetFix:1, 0, UNSIGNED};0;9
NodeInputMappedReg;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeMul;{HWFloat:8, 24};0;19
NodeNot;{HWOffsetFix:1, 0, UNSIGNED};0;9
NodePO2FPMult;{HWFloat:8, 24};0;1
NodeReinterpret;{HWOffsetFix:1, 0, UNSIGNED};0;6
NodeReinterpret;{HWRawBits:1};0;12
NodeStreamOffset;{HWFloat:8, 24};0;28
NodeSub;{HWFloat:8, 24};0;1
