"Node ID","Latency","Node Type","Node"
"2","4","NodeInput","Input(controller)"
"3","9","NodeCast","{HWOffsetFix:1, 0, UNSIGNED}"
"7","9","NodeReinterpret","<{HWRawBits:1}>"
"6","9","NodeAnd","&"
"9","9","NodeReinterpret","<{HWOffsetFix:1, 0, UNSIGNED}>"
"10","9","NodeInput","Input(x)"
"11","9","NodeCast","{HWOffsetFix:1, 0, UNSIGNED}"
"15","9","NodeReinterpret","<{HWRawBits:1}>"
"14","9","NodeAnd","&"
"17","9","NodeReinterpret","<{HWOffsetFix:1, 0, UNSIGNED}>"
"18","9","NodeInput","Input(y)"
"41","14","NodeTriAdd","3 +"
"23","15","NodePrintf","NodePrintf"
"31","15","NodeOutput","Output(s)"
"34","0","NodeCounterV1","Counter(NUMERIC_INCREMENTING)\nInc: 1\nReset: 0\nInit: 0"
"36","4","NodeOutputMappedReg","Scalar output (current_run_cycle_count)"
"39","0","NodeEq","=="
"37","1","NodeFlush","flush on trigger"
