
Pre-schedule statistics


Total nodes: 22

Node class;Type;Length;Num
NodeAdd;{HWOffsetFix:32, 0, UNSIGNED};0;1
NodeConstantDouble;HWUntypedConst;0;1
NodeConstantRawBits;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeConstantRawBits;{HWOffsetFix:49, 0, UNSIGNED};0;1
NodeCounterV1;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeEq;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeInput;{HWOffsetFix:32, 0, UNSIGNED};0;1
NodeInputMappedReg;{HWOffsetFix:1, 0, UNSIGNED};0;2
NodeInputMappedReg;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeNot;{HWOffsetFix:1, 0, UNSIGNED};0;2
NodeReinterpret;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeReinterpret;{HWRawBits:1};0;1
NodeStreamOffset;{HWOffsetFix:32, 0, UNSIGNED};0;6
NodeTriAdd;{HWOffsetFix:32, 0, UNSIGNED};0;2

Post-schedule statistics (pass 1)


Total nodes: 30

Node class;Type;Length;Num
NodeAdd;{HWOffsetFix:32, 0, UNSIGNED};0;1
NodeConstantDouble;HWUntypedConst;0;1
NodeConstantRawBits;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeConstantRawBits;{HWOffsetFix:49, 0, UNSIGNED};0;1
NodeCounterV1;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeEq;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeFIFO;{HWOffsetFix:32, 0, UNSIGNED};10;2
NodeFIFO;{HWOffsetFix:32, 0, UNSIGNED};100;2
NodeFIFO;{HWOffsetFix:32, 0, UNSIGNED};110;4
NodeInput;{HWOffsetFix:32, 0, UNSIGNED};0;1
NodeInputMappedReg;{HWOffsetFix:1, 0, UNSIGNED};0;2
NodeInputMappedReg;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeNot;{HWOffsetFix:1, 0, UNSIGNED};0;2
NodeReinterpret;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeReinterpret;{HWRawBits:1};0;1
NodeStreamOffset;{HWOffsetFix:32, 0, UNSIGNED};0;6
NodeTriAdd;{HWOffsetFix:32, 0, UNSIGNED};0;2

Post-schedule statistics (pass 2)


Total nodes: 33

Node class;Type;Length;Num
NodeAdd;{HWOffsetFix:32, 0, UNSIGNED};0;1
NodeConstantDouble;HWUntypedConst;0;1
NodeConstantRawBits;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeConstantRawBits;{HWOffsetFix:49, 0, UNSIGNED};0;1
NodeCounterV1;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeEq;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeFIFO;{HWOffsetFix:32, 0, UNSIGNED};1;2
NodeFIFO;{HWOffsetFix:32, 0, UNSIGNED};10;3
NodeFIFO;{HWOffsetFix:32, 0, UNSIGNED};102;1
NodeFIFO;{HWOffsetFix:32, 0, UNSIGNED};2;2
NodeFIFO;{HWOffsetFix:32, 0, UNSIGNED};5;1
NodeFIFO;{HWOffsetFix:32, 0, UNSIGNED};93;1
NodeFIFO;{HWOffsetFix:48, 0, UNSIGNED};4;1
NodeInput;{HWOffsetFix:32, 0, UNSIGNED};0;1
NodeInputMappedReg;{HWOffsetFix:1, 0, UNSIGNED};0;2
NodeInputMappedReg;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeNot;{HWOffsetFix:1, 0, UNSIGNED};0;2
NodeReinterpret;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeReinterpret;{HWRawBits:1};0;1
NodeStreamOffset;{HWOffsetFix:32, 0, UNSIGNED};0;6
NodeTriAdd;{HWOffsetFix:32, 0, UNSIGNED};0;2

Final statistics


Total nodes: 32

Node class;Type;Length;Num
NodeAdd;{HWOffsetFix:32, 0, UNSIGNED};0;1
NodeConstantDouble;HWUntypedConst;0;1
NodeConstantRawBits;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeConstantRawBits;{HWOffsetFix:49, 0, UNSIGNED};0;1
NodeCounterV1;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeEq;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeFIFO;{HWOffsetFix:32, 0, UNSIGNED};1;3
NodeFIFO;{HWOffsetFix:32, 0, UNSIGNED};10;3
NodeFIFO;{HWOffsetFix:32, 0, UNSIGNED};102;1
NodeFIFO;{HWOffsetFix:32, 0, UNSIGNED};5;1
NodeFIFO;{HWOffsetFix:32, 0, UNSIGNED};93;1
NodeFIFO;{HWOffsetFix:48, 0, UNSIGNED};4;1
NodeInput;{HWOffsetFix:32, 0, UNSIGNED};0;1
NodeInputMappedReg;{HWOffsetFix:1, 0, UNSIGNED};0;2
NodeInputMappedReg;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeNot;{HWOffsetFix:1, 0, UNSIGNED};0;2
NodeReinterpret;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeReinterpret;{HWRawBits:1};0;1
NodeStreamOffset;{HWOffsetFix:32, 0, UNSIGNED};0;6
NodeTriAdd;{HWOffsetFix:32, 0, UNSIGNED};0;2
