"Node ID","Latency","Node Type","Node"
"2","9","NodeInput","Input(inStream)"
"8","4097","NodeStreamOffset","stream offset: -4097"
"10","0","NodeDynamicStreamOffset","dynamic offset: [-4097, 0]"
"15","4097","NodeStreamOffset","stream offset: -1"
"17","4096","NodeDynamicStreamOffset","dynamic offset: [-1, 0]"
"63","4100","NodeAdd","+"
"23","14","NodeDynamicStreamOffset","dynamic offset: [0, 4095]"
"64","4112","NodeAdd","+"
"28","4121","NodeStreamOffset","stream offset: -4096"
"30","25","NodeDynamicStreamOffset","dynamic offset: [-4096, 0]"
"65","4124","NodeAdd","+"
"66","4136","NodeAdd","+"
"41","49","NodeDynamicStreamOffset","dynamic offset: [0, 4096]"
"67","4148","NodeAdd","+"
"46","4157","NodeStreamOffset","stream offset: -4095"
"48","62","NodeDynamicStreamOffset","dynamic offset: [-4095, 0]"
"68","4160","NodeAdd","+"
"54","4157","NodeDynamicStreamOffset","dynamic offset: [0, 1]"
"69","4172","NodeAdd","+"
"60","84","NodeDynamicStreamOffset","dynamic offset: [0, 4097]"
"70","4184","NodeAdd","+"
"72","4196","NodeDiv","/"
"80","4224","NodeOutput","Output(outStream)"
"83","4121","NodeCounterV1","Counter(NUMERIC_INCREMENTING)\nInc: 1\nReset: 0\nInit: 0"
"91","4121","NodeOutput","Output(counter)"
"94","5","NodeCounterV1","Counter(NUMERIC_INCREMENTING)\nInc: 1\nReset: 0\nInit: 0"
"96","9","NodeOutputMappedReg","Scalar output (current_run_cycle_count)"
"99","5","NodeEq","=="
"97","6","NodeFlush","flush on trigger"
